,sofifa_id,overall,potential,value_eur,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic
sofifa_id,1.0,-0.3407337595683223,-0.015960580977517878,-0.08571029798083926,-0.14011687291849362,-0.011831507659886975,-0.1485058135061017,0.21986331807277834,-0.24080856285666333,-0.2942754745766938,-0.1679666997024859,-0.1398733466077305,-0.27789254250654366
overall,-0.3407337595683223,1.0,0.05352443825535948,0.6447204560913519,0.0033796784900584852,0.04032562083871604,0.0829443140485502,0.17737900075593765,0.45687237991601276,0.6614858378892557,0.6036354872700469,0.24161085549848454,0.3595002053612313
potential,-0.015960580977517878,0.05352443825535948,1.0,-0.015047873369437161,0.2203942062166762,-0.20317820300819975,-0.03307554192324658,-0.0024462103060581674,0.03768133807577658,0.049082972575149264,-0.04770007126383021,0.03148283555803109,0.14814150012743843
value_eur,-0.08571029798083926,0.6447204560913519,-0.015047873369437161,1.0,-0.07285548596197877,0.0681681732376606,0.02605561472225831,0.19826404974392775,0.2982887584421458,0.42236041242670047,0.42573820636608295,0.10932443820566458,0.18307953038681452
age,-0.14011687291849362,0.0033796784900584852,0.2203942062166762,-0.07285548596197877,1.0,-0.912987995761088,0.18653126582064689,-0.27137281979160877,0.061504255246665855,0.05166437982601454,-0.14259928003176708,0.14414480304138763,0.28187140499330215
height_cm,-0.011831507659886975,0.04032562083871604,-0.20317820300819975,0.0681681732376606,-0.912987995761088,1.0,0.7548758521611286,0.05205127151810102,-0.12129804625205379,-0.1470403478004842,-0.008344816401804423,-0.04121607877340356,0.5215979614662607
weight_kg,-0.1485058135061017,0.0829443140485502,-0.03307554192324658,0.02605561472225831,0.18653126582064689,0.7548758521611286,1.0,-0.4195548633665616,-0.15798693857803572,-0.2712877037689788,-0.3631262439050063,0.17459577786651467,0.5734008322209193
pace,0.21986331807277834,0.17737900075593765,-0.0024462103060581674,0.19826404974392775,-0.27137281979160877,0.05205127151810102,-0.4195548633665616,1.0,0.31644630273809815,0.2762467308769198,0.5042895413011184,-0.3385245322705399,-0.28153696720904736
shooting,-0.24080856285666333,0.45687237991601276,0.03768133807577658,0.2982887584421458,0.061504255246665855,-0.12129804625205379,-0.15798693857803572,0.31644630273809815,1.0,0.6834477934076194,0.7370119207363185,-0.4572275113761063,-0.09381670823675986
passing,-0.2942754745766938,0.6614858378892557,0.049082972575149264,0.42236041242670047,0.05166437982601454,-0.1470403478004842,-0.2712877037689788,0.2762467308769198,0.6834477934076194,1.0,0.794910086119479,0.059757891651975474,-0.025982421162851356
dribbling,-0.1679666997024859,0.6036354872700469,-0.04770007126383021,0.42573820636608295,-0.14259928003176708,-0.008344816401804423,-0.3631262439050063,0.5042895413011184,0.7370119207363185,0.794910086119479,1.0,-0.2259076325306684,-0.1548617079616846
defending,-0.1398733466077305,0.24161085549848454,0.03148283555803109,0.10932443820566458,0.14414480304138763,-0.04121607877340356,0.17459577786651467,-0.3385245322705399,-0.4572275113761063,0.059757891651975474,-0.2259076325306684,1.0,0.488579148976282
physic,-0.27789254250654366,0.3595002053612313,0.14814150012743843,0.18307953038681452,0.28187140499330215,0.5215979614662607,0.5734008322209193,-0.28153696720904736,-0.09381670823675986,-0.025982421162851356,-0.1548617079616846,0.488579148976282,1.0
