,mean,median,std,min,max,count
sofifa_id,224655.74304068522,229153.0,25524.123724664372,41.0,264481.0,7005.0
overall,68.82455389007852,68.0,5.881654302047832,48.0,93.0,7005.0
potential,46752.684511063526,72.0,1300611.4853743063,53.0,104000000.0,7005.0
value_eur,4354422.564025696,1400000.0,10385372.206066042,18.0,194000000.0,7005.0
age,30.43625981441827,27.0,24.464956435199724,17.0,193.0,7005.0
height_cm,177.9982869379015,180.0,18.198026999401414,55.0,203.0,7005.0
weight_kg,74.84824959718763,75.0,6.735760083330486,53.0,100.0,6827.0
pace,68.198857958601,69.0,12.044700622569758,21.0,97.0,7005.0
shooting,54.547466095645966,57.0,14.270823591706604,18.0,94.0,7005.0
passing,60.243683083511776,61.0,9.548061666044589,25.0,93.0,7005.0
dribbling,64.49022127052106,65.0,9.582463787774367,22.0,95.0,7005.0
defending,55.824268379728764,61.0,15.677798228005258,16.0,91.0,7005.0
physic,68.32166398125092,69.0,8.530203708854694,31.0,90.0,6827.0
