preferred_foot,count,mean,std
CAM,5,74.8,6.572670690061994
CB,10,70.8,3.9101008796307126
CDM,4,71.5,2.5166114784235836
LB,15,66.2,4.109223075681617
LCB,15,67.13333333333334,4.172472146045288
LCM,20,65.7,6.860259316872564
LDM,2,65.0,2.8284271247461903
LM,13,67.84615384615384,2.5115119565099286
LS,5,68.8,3.563705936241094
LW,6,70.5,11.25610945220417
LWB,6,66.16666666666667,3.9707262140150985
Left,1770,68.90734463276836,5.803490330066657
RB,7,67.42857142857143,4.035556254807296
RCB,23,65.17391304347827,5.131473064362383
RCM,20,67.65,4.522167621838006
RDM,4,68.75,4.193248541803043
RF,1,66.0,
RM,8,68.625,3.7772817134623637
RS,3,71.66666666666667,7.505553499465137
RW,3,66.0,5.5677643628300215
RWB,3,60.333333333333336,6.658328118479393
Right,5057,68.84378089776547,5.922538393158941
ST,5,68.2,1.6431676725154964
